request_date,response_code
2016-10-03 15:07:53.604,204
2016-10-03 15:06:47.764,204
2016-10-03 14:52:02.241,204
2016-10-03 14:49:32.640,204
2016-10-05 11:23:06.530,200
2016-10-05 08:55:35.394,404
2016-10-05 08:55:35.489,404
2016-10-05 08:39:38.013,404
2016-10-05 11:23:05.127,200
2016-10-05 09:53:44.328,200
2016-10-04 11:40:27.664,200
2016-10-04 11:42:59.432,200
2016-10-05 09:53:13.075,200
2016-10-05 08:44:27.591,201
2016-10-05 08:44:28.021,201
2016-10-05 11:23:33.047,200
2016-10-05 11:23:32.816,200
2016-10-05 11:27:06.552,200
2016-10-05 11:23:30.055,200
2016-10-05 11:27:05.187,200
2016-10-05 11:27:04.713,200
2016-10-05 11:50:21.938,201
2016-10-05 11:49:08.808,200
2016-10-05 11:39:30.300,404
2016-10-12 11:17:50.095,302
2016-10-12 12:52:22.429,302
2016-10-12 08:04:41.905,200
2016-10-12 08:05:06.569,499
2016-10-12 12:52:19.500,302
2016-10-12 12:43:15.482,200
2016-10-05 12:27:44.618,201
2016-10-05 12:53:04.601,200
2016-10-12 12:45:22.605,201
2016-10-12 11:17:40.800,201
2016-10-12 13:45:19.300,200
2016-10-12 13:00:55.774,200
2016-10-12 13:37:51.965,200
2016-10-12 13:00:39.800,304
2016-10-12 12:52:22.571,200
2016-10-12 13:42:46.717,422
2016-10-12 12:55:57.092,422
2016-10-12 13:36:12.175,422
2016-10-12 12:58:46.741,200
2016-10-12 13:45:26.816,200
2016-10-12 14:00:06.048,200
2016-10-12 14:00:25.740,200
2016-10-12 14:00:35.507,200
2016-10-12 13:45:22.545,200
2016-10-12 14:00:40.537,200
2016-10-12 13:59:56.297,302
2016-10-12 14:00:49.696,200
2016-10-12 13:59:51.704,200
2016-10-12 14:26:43.295,200
2016-10-12 14:21:27.388,200
2016-10-12 14:00:59.783,200
2016-10-12 14:00:58.707,200
2016-10-12 14:00:58.841,200
2016-10-12 17:34:08.677,204
2016-10-12 14:25:47.521,422
2016-10-12 14:07:09.967,200
2016-10-12 14:01:12.543,201
2016-10-12 14:09:23.197,422
2016-10-13 07:50:45.399,200
2016-10-13 07:51:20.623,200
2016-10-12 17:45:11.663,200
2016-10-12 17:34:09.115,201
2016-10-13 07:50:30.912,201
2016-10-12 17:45:07.967,200
2016-10-13 06:47:09.106,404
2016-10-13 07:28:08.444,201
2016-10-13 07:28:00.238,201
2016-10-13 07:51:37.352,200
2016-10-13 07:51:37.519,200
2016-10-13 07:51:37.522,200
2016-10-13 07:51:37.696,200
2016-10-13 07:51:37.694,200
2016-10-13 07:58:01.321,302
2016-10-13 07:58:01.520,302
2016-10-13 07:57:57.298,302
2016-10-13 07:51:20.975,200
2016-10-13 07:51:21.015,200
2016-10-13 08:03:20.347,200
2016-10-13 08:03:20.565,200
2016-10-13 08:03:22.839,200
2016-10-13 08:03:20.862,200
2016-10-13 07:51:33.551,499
2016-10-13 07:51:34.024,499
2016-10-13 08:01:08.213,204
2016-10-13 08:03:23.056,200
2016-10-13 08:03:23.056,200
2016-10-13 08:03:23.056,200
2016-10-13 08:03:23.505,499
2016-10-13 08:38:30.695,200
2016-10-13 08:38:30.741,200
2016-10-13 08:38:30.750,200
2016-10-13 10:43:51.840,304
2016-10-13 10:43:51.969,200
2016-10-13 10:43:52.232,304
2016-10-13 10:43:49.186,200
2016-10-13 08:03:25.243,200
2016-10-13 10:43:50.160,200
2016-10-13 10:43:51.323,304
2016-10-13 08:38:29.846,499
2016-10-13 08:03:24.238,499
2016-10-13 14:47:41.475,200
2016-10-13 14:47:41.496,200
2016-10-21 09:45:59.976,404
2016-10-13 14:47:42.218,200
2016-10-21 11:31:37.245,200
2016-10-13 14:47:43.504,304
2016-10-14 06:54:12.152,201
2016-10-21 08:28:11.849,201
2016-10-21 10:33:15.395,201
2016-10-14 06:54:10.733,201
2016-10-24 11:31:55.805,200
2016-10-24 11:31:56.059,200
2016-10-21 13:11:26.963,403
2016-10-21 13:16:43.417,403
2016-10-24 11:21:47.670,200
2016-10-24 11:31:53.299,200
2016-10-24 11:36:13.498,204
2016-10-24 08:05:43.073,204
2016-10-24 08:05:43.437,201
2016-10-24 08:05:52.090,201
2016-10-24 11:49:43.471,201
2016-10-24 12:20:27.719,201
2016-10-24 12:25:26.192,201
2016-10-24 12:08:59.898,201
2016-10-24 11:51:03.921,204
2016-10-24 12:31:16.808,204
2016-10-24 13:07:53.322,204
2016-10-24 12:25:24.784,204
2016-10-24 12:24:52.517,204
2016-10-24 11:51:09.304,422
2016-10-24 13:57:21.999,200
2016-10-24 13:57:22.040,200
2016-10-24 13:59:12.114,304
2016-10-24 13:59:12.290,304
2016-10-24 13:58:36.135,200
2016-10-24 14:00:13.078,404
2016-10-24 13:57:16.595,200
2016-10-24 13:59:11.134,200
2016-10-24 13:58:34.451,200
2016-10-24 13:23:59.297,201
2016-10-24 13:08:04.185,201
2016-10-24 14:03:04.730,200
2016-10-24 14:00:20.260,304
2016-10-24 14:03:02.996,200
2016-10-24 14:03:03.170,200
2016-10-25 07:41:48.735,200
2016-10-25 07:41:49.024,200
2016-10-24 14:02:17.574,201
2016-10-24 14:02:17.747,201
2016-10-24 14:02:23.130,200
2016-10-24 14:00:18.789,200
2016-10-25 07:41:43.118,200
2016-10-25 07:41:51.479,302
2016-10-25 07:42:09.272,200
2016-10-25 07:50:34.791,201
2016-10-25 07:53:06.448,201
2016-10-25 07:50:24.796,201
2016-10-25 07:51:10.482,201
2016-10-25 07:53:05.020,204
2016-10-25 07:52:41.629,204
2016-10-25 07:43:10.082,422
2016-10-25 07:50:23.373,201
2016-10-25 09:47:57.162,201
2016-10-25 10:56:24.236,422
2016-10-25 11:10:34.531,422
2016-10-25 10:59:58.693,422
2016-10-25 11:00:51.908,422
2016-10-25 10:23:22.229,422
2016-10-25 08:55:52.134,201
2016-10-25 08:55:52.409,201
2016-10-25 07:59:40.484,201
2016-10-25 08:56:13.857,201
2016-10-25 12:10:16.197,302
2016-10-25 12:10:16.399,200
2016-10-25 11:57:21.317,204
2016-10-25 11:57:21.487,201
2016-10-25 12:10:19.882,200
2016-10-25 11:35:33.549,201
2016-10-25 12:07:20.719,422
2016-10-25 11:19:11.391,422
2016-10-25 11:59:22.402,422
2016-10-25 11:35:23.777,201
2016-10-25 12:10:12.255,200
2016-10-25 12:11:33.039,200
2016-10-25 12:15:09.783,200
2016-10-25 12:10:24.543,304
2016-10-25 12:11:31.547,200
2016-10-25 12:15:08.746,200
2016-10-25 12:22:15.929,204
2016-10-25 12:26:45.416,204
2016-10-25 12:39:04.044,204
2016-10-25 12:22:49.259,201
2016-10-25 13:16:50.634,204
2016-10-25 13:16:50.946,201
2016-10-25 12:40:14.065,422
2016-10-25 12:40:14.250,201
2016-10-25 12:41:36.226,201
2016-10-25 13:15:40.207,204
2016-10-25 13:15:49.079,204
2016-10-25 15:15:24.823,201
2016-10-25 15:15:23.341,201
2016-10-25 13:18:23.345,201
2016-10-26 05:59:03.646,201
2016-10-26 05:59:17.577,204
2016-10-26 05:59:35.004,204
2016-10-26 08:22:17.448,201
2016-10-25 15:18:49.649,201
2016-10-25 15:18:48.240,204
2016-10-26 08:22:53.941,422
2016-10-26 07:59:13.165,201
2016-10-26 08:06:35.746,204
2016-10-26 08:53:18.486,201
2016-10-26 08:39:08.722,422
2016-10-26 08:26:50.066,422
2016-10-26 08:34:55.147,422
2016-10-26 08:44:04.527,422
2016-10-26 08:26:17.740,422
2016-10-26 08:46:45.294,422
2016-10-26 08:25:40.258,422
2016-10-26 08:31:09.640,422
2016-10-26 11:54:49.625,302
2016-10-26 11:56:10.678,403
2016-10-26 08:54:00.076,201
2016-10-26 12:12:27.851,204
2016-10-26 12:12:28.117,201
2016-10-26 12:14:01.296,201
2016-10-26 12:14:01.623,201
2016-10-26 09:33:21.118,201
2016-10-26 10:03:23.813,422
2016-10-26 12:14:29.797,422
2016-10-26 10:03:55.585,201
2016-10-26 12:22:37.949,201
2016-10-26 12:22:38.249,201
2016-10-26 12:15:20.630,201
2016-10-26 12:25:20.685,201
2016-10-26 12:19:32.216,201
2016-10-26 12:30:39.686,201
2016-10-26 12:24:31.537,204
2016-10-26 12:29:36.066,201
2016-10-26 12:21:28.354,201
2016-10-26 12:20:41.143,201
2016-10-26 13:09:26.958,201
2016-10-26 12:48:20.659,422
2016-10-26 13:09:24.622,201
2016-10-26 12:42:29.153,201
2016-10-26 12:38:39.166,201
2016-10-26 12:30:56.190,204
2016-10-26 12:38:38.849,201
2016-10-26 12:32:19.034,422
2016-10-26 12:38:11.108,201
2016-10-28 10:27:17.754,201
2016-10-26 13:16:13.058,422
2016-10-28 10:27:30.261,200
2016-10-28 10:10:34.262,201
2016-10-26 13:16:26.256,201
2016-10-28 10:18:33.103,201
2016-10-26 13:27:12.502,201
2016-10-26 13:25:00.106,422
2016-10-26 13:17:01.097,422
2016-10-28 10:28:04.951,200
2016-10-28 10:28:06.579,200
2016-10-28 10:27:36.289,200
2016-10-28 10:27:35.333,200
2016-10-28 10:27:38.969,200
2016-10-28 11:52:39.038,201
2016-10-28 10:27:32.132,302
2016-10-28 11:32:34.750,201
2016-10-31 13:58:53.642,201
2016-10-31 13:58:54.124,201
2016-10-31 14:30:19.623,404
2016-10-31 14:45:06.112,403
2016-10-31 14:45:59.504,404
2016-10-31 14:53:22.488,403
2016-10-31 14:05:28.921,201
2016-10-31 14:05:29.271,201
2016-10-31 14:30:04.004,404
2016-10-31 14:56:04.325,201
2016-10-31 14:18:41.262,201
2016-10-31 14:13:27.654,201
2016-10-31 14:58:58.282,201
2016-11-02 10:33:54.792,404
2016-11-02 10:44:54.766,403
2016-11-07 12:53:32.071,302
2016-11-02 13:04:02.588,201
2016-11-07 09:10:14.430,200
2016-11-07 10:46:09.230,200
2016-11-02 10:38:51.712,404
2016-11-03 11:33:40.550,204
2016-11-02 10:33:17.233,204
2016-11-02 10:50:27.821,204
2016-11-07 12:58:11.466,200
2016-11-07 12:53:34.592,302
2016-11-07 12:53:34.842,200
2016-11-07 12:53:34.909,200
2016-11-07 14:48:42.986,200
2016-11-07 14:48:43.213,200
2016-11-07 14:48:43.214,200
2016-11-07 14:49:37.546,200
2016-11-07 14:48:36.844,302
2016-11-07 14:48:37.172,200
2016-11-07 12:53:38.659,200
2016-11-07 14:49:36.384,200
2016-11-07 14:51:29.488,201
2016-11-07 14:49:48.466,200
2016-11-09 09:51:54.698,200
2016-11-07 14:51:48.120,404
2016-11-07 14:52:03.912,302
2016-11-09 09:51:40.948,200
2016-11-09 09:51:41.469,200
2016-11-09 09:51:20.066,200
2016-11-09 09:51:20.236,200
2016-11-08 11:37:15.467,200
2016-11-09 09:51:28.347,302
2016-11-08 07:28:26.269,204
2016-11-08 07:28:26.646,201
2016-11-07 15:00:41.105,200
2016-11-09 09:51:55.278,200
2016-11-09 09:52:21.277,200
2016-11-09 09:51:57.062,200
2016-11-09 11:25:35.756,204
2016-11-09 11:25:36.074,201
2016-11-10 11:14:11.765,200
2016-11-10 11:14:11.773,200
2016-11-09 11:25:15.836,201
2016-11-10 10:29:36.015,201
2016-11-09 09:53:24.546,201
2016-11-10 11:14:08.314,404
2016-11-10 11:14:08.361,404
2016-11-10 11:21:01.396,200
2016-11-10 14:10:59.326,200
2016-11-10 14:10:49.273,200
2016-11-10 13:50:33.014,201
2016-11-10 14:02:35.634,201
2016-11-10 14:10:50.608,200
2016-11-10 14:05:26.888,201
2016-11-10 13:50:46.454,201
2016-11-10 11:14:15.272,200
2016-11-10 19:12:37.283,200
2016-11-10 19:12:37.419,200
2016-11-10 19:11:57.202,200
2016-11-10 19:12:25.364,200
2016-11-10 19:13:43.930,200
2016-11-10 19:12:57.660,200
2016-11-10 19:15:45.859,201
2016-11-10 19:12:35.021,200
2016-11-11 08:28:00.942,201
2016-11-11 08:27:58.247,201
2016-11-14 08:24:28.468,200
2016-11-11 13:20:26.642,200
2016-11-11 13:20:26.809,200
2016-11-11 13:19:54.668,200
2016-11-14 08:20:48.476,302
2016-11-14 08:20:43.249,302
2016-11-14 08:20:43.422,200
2016-11-11 13:21:28.314,201
